Ticker,Sedol,Name,Sector,Folder,Label
ACE-IT,5728125,Acea S.p.A.,North American Utilities,Acea,Acea
AENA-ES,BVRZ8L1,Aena SME SA,Airports,Aena,Aena
ADP-FR,B164FY1,Aeroports de Paris SA,Airports,ADP,ADP
AQN-CA,B51BMR7,Algonquin Power & Utilities Corp.,North American Utilities,Algonquin,Algonquin
ALE-US,B02R1L6,"ALLETE, Inc.",North American Utilities,ALLETE,ALLETE
LNT-US,2973821,Alliant Energy Corp,North American Utilities,Alliant Energy,Alliant Energy
ALA-CA,B43WJC5,AltaGas Ltd.,Pipelines and Storage,Altagas,Altagas
AEE-US,2050832,Ameren Corporation,North American Utilities,Ameren,Ameren
AEP-US,2026242,"American Electric Power Company, Inc.",North American Utilities,AEP,AEP
AWR-US,2267171,American States Water Company,North American Utilities,Amercian States Water,Amercian States Water
AMT-US,B7FBFL2,American Tower Corporation,Comms,Towers\North America\American Towers,American Towers
AWK-US,B2R3PV1,"American Water Works Company, Inc.",North American Utilities,Amercian Water,Amercian Water
APA-AU,6247306,APA Group,Pipelines and Storage,APA Group,APA Group
AT-IT,4063980,ASTM S.p.A.,Toll Roads,ASTM,ASTM
ACO.X-CA,2060615,ATCO Ltd. Class I,North American Utilities,ATCO,ATCO
ATL-IT,7667163,Atlantia S.p.A,Toll Roads,Atlantia,Atlantia
AY-US,BLP5YB5,Atlantica Yield plc,Renewables,Atlantica Yield,Atlantica Yield
ALX-AU,BZ03TZ1,Atlas Arteria,Toll Roads,Atlas Ateria,Atlas Ateria
ATO-US,2315359,Atmos Energy Corporation,North American Utilities,Atmos Energy,Atmos Energy
AIA-NZ,BKX3XG2,Auckland International Airport Limited,Airports,Auckland Airport,Auckland Airport
AZJ-AU,B87CVM3,Aurizon Holdings Ltd.,Rail,Aurizon,Aurizon
AST-AU,BPXR7J0,AusNet Services Limited,ANZ Utilities,AusNet,AusNet
AGR-US,BYP0CD9,"Avangrid, Inc.",North American Utilities,Avangrid,Avangrid
AVA-US,2942605,Avista Corporation,North American Utilities,Avista,Avista
BKH-US,2101741,Black Hills Corporation,North American Utilities,Black Hills Corp,Black Hills Corp
CWT-US,2165383,California Water Service Group,North American Utilities,California Water,California Water
CNR-CA,2180632,Canadian National Railway Company,Rail,Canadian National,Canadian National
CP-CA,2793115,Canadian Pacific Railway Limited,Rail,Canadian Pacific,Canadian Pacific
CU-CA,2172639,Canadian Utilities Limited Class A,North American Utilities,Canadian Utilities,Canadian Utilities
CLNX-ES,BX90C05,Cellnex Telecom S.A.,Comms,Towers\Europe\Cellnex - Spain,Cellnex
CNP-US,2440637,"CenterPoint Energy, Inc.",North American Utilities,CenterPoint Energy,CenterPoint Energy
9022-JP,6183552,Central Japan Railway Company,Rail,Central Japan Rail,Central Japan Rail
LNG-US,2654364,"Cheniere Energy, Inc.",Pipelines and Storage,Cheniere,Cheniere
CNU-NZ,B4P0G71,Chorus Limited,Comms,Fibre\Chorus,Chorus
CMS-US,2219224,CMS Energy Corporation,North American Utilities,CMS Energy,CMS Energy
ED-US,2216850,"Consolidated Edison, Inc.",North American Utilities,Con Edison,Con Edison
CCI-US,BTGQCX1,Crown Castle International Corp,Comms,Towers\North America\Crown Castle,Crown Castle
CSX-US,2160753,CSX Corporation,Rail,CSX Corporation,CSX Corporation
DLR-US,B03GQS4,"Digital Realty Trust, Inc.",Comms,Data Centres\Companies\Digital Realty trust Inc,Digital Realty
D-US,2542049,Dominion Energy Inc,North American Utilities,Dominion Energy,Dominion Energy
DTE-US,2280220,DTE Energy Company,North American Utilities,DTE Energy,DTE Energy
DUK-US,B7VD3F2,Duke Energy Corporation,North American Utilities,Duke Energy,Duke Energy
EOAN-DE,4942904,E.ON SE,European Utilities,EON,EON
9020-JP,6298542,East Japan Railway Company,Rail,East Japan Rail,East Japan Rail
EIX-US,2829515,Edison International,North American Utilities,Edison International,Edison International
EDPR-PT,B39GNW2,EDP Renovaveis SA,Renewables,EDPR,EDPR
EDP-PT,4103596,EDP-Energias de Portugal SA,European Utilities,EDP,EDP
FGR-FR,B13X013,Eiffage SA,Toll Roads,Eiffage,Eiffage
EE-US,2851808,El Paso Electric Company,North American Utilities,El Paso Electric,El Paso Electric
ELI-BE,B09M9F4,Elia Group SA/NV,European Utilities,Elia,Elia
EMA-CA,2650050,Emera Incorporated,North American Utilities,Emera,Emera
ENG-ES,7383072,Enagas SA,European Utilities,Enagas,Enagas
ENAV-IT,BD0CRV6,ENAV S.p.A.,Airports,ENAV,ENAV
ENB-CA,2466149,Enbridge Inc.,Pipelines and Storage,Enbridge,Enbridge
ETR-US,2317087,Entergy Corporation,North American Utilities,Entergy,Entergy
WTRG-US,BLCF3J9,"Essential Utilities, Inc.",North American Utilities,Essential Utilities (Aqua America),Essential Utilities 
ETL-FR,B0M7KJ7,Eutelsat Communications SA,Comms,Satellite\Eutelsat,Eutelsat
EVRG-US,BFMXGR0,"Evergy, Inc.",North American Utilities,EVERGY,EVERGY
ES-US,BVVN4Q8,Eversource Energy,North American Utilities,Eversource,Eversource
EXC-US,2670519,Exelon Corporation,North American Utilities,Exelon Corp,Exelon Corp
FER-ES,B038516,"Ferrovial, S.A.",Toll Roads,Ferrovial,Ferrovial
FE-US,2100920,FirstEnergy Corp.,North American Utilities,FirstEnergy,FirstEnergy
FHZN-CH,BYQ8481,Flughafen Zurich AG,Airports,Flughafen Zurich,Flughafen Zurich
FTS-CA,2347200,Fortis Inc.,North American Utilities,Fortis,Fortis
FRA-DE,7107551,Fraport AG,Airports,Fraport ,Fraport 
GET-FR,B292JQ9,Getlink SE,Rail,Getlink,Getlink
HHFA-DE,B28SK09,Hamburger Hafen und Logistik AG,Sea Ports,Hamburger Hafen,Hamburger Hafen
HER-IT,7598003,Hera S.p.A.,European Utilities,Hera,Hera
2638-HK,BJ3WDZ1,HK Electric Investments & HK Electric Investments Ltd.,Asien Utilities,HK,HK
H-CA,BYYXJY9,Hydro One Limited,North American Utilities,Hydro ONE,Hydro ONE
IBE-ES,B288C92,Iberdrola SA,European Utilities,Iberdrola,Iberdrola
IDA-US,2296937,"IDACORP, Inc.",North American Utilities,Idacorp,Idacorp
INW-IT,BZ0P4R4,Infrastrutture Wireless Italiane S.p.A.,Comms,Towers\Europe\Infrastructure Wireless Ital,Infrastrutture
IGY-DE,BDCFZS6,innogy SE,European Utilities,Innogy,Innogy
IPL-CA,BDD54N3,Inter Pipeline Ltd.,Pipelines and Storage,Inter Pipeline,Inter Pipeline
IRE-IT,4783211,Iren S.p.A.,European Utilities,Iren,Iren
IG-IT,BD2Z8S7,Italgas SpA,European Utilities,Italgas,Italgas
KSU-US,2607647,Kansas City Southern,Rail,KC Southern,KC Southern
KEY-CA,B3SGMV5,Keyera Corp.,Pipelines and Storage,Keyera,Keyera
KMI-US,B3NQ4P8,Kinder Morgan Inc Class P,Pipelines and Storage,Kinder Morgan,Kinder Morgan
MPC-US,B3K3L40,Marathon Petroleum Corporation,Pipelines and Storage,Marathon,Marathon
MGEE-US,2554163,"MGE Energy, Inc.",North American Utilities,MGE Energy,MGE Energy
NG-GB,BDR05C0,National Grid plc,UK Utilities,National Grid,National Grid
NTGY-ES,5650422,"Naturgy Energy Group, S.A.",European Utilities,Naturgy,Naturgy
CJLU-SG,BF5GLW6,NetLink NBN Trust,Comms,Fibre\NetLinkNBN,NetLinkNBN
NEE-US,2328915,"NextEra Energy, Inc.",North American Utilities,NextEra,NextEra
NI-US,2645409,NiSource Inc,North American Utilities,NiSource,NiSource
NSC-US,2641894,Norfolk Southern Corporation,Rail,Norfolk Southern,Norfolk Southern
NPI-CA,B68XHC3,Northland Power Inc.,Renewables,Northland Power,Northland Power
NWN-US,BFNR303,Northwest Natural Holding Co.,North American Utilities,Northwest Natural Gas Company,Northwest Natural Gas Company
NWE-US,B03PGL4,NorthWestern Corporation,North American Utilities,Northwestern Energy,Northwestern Energy
OGE-US,2657802,OGE Energy Corp.,North American Utilities,OGE Energy,OGE Energy
OGS-US,BJ0KXV4,"ONE Gas, Inc.",North American Utilities,ONE Gas Inc,ONE Gas Inc
ORSTED-DK,BYT16L4,Orsted,Renewables,Orsted,Orsted
PPL-CA,B4PT2P8,Pembina Pipeline Corporation,Pipelines and Storage,Pembina,Pembina
PNN-GB,B18V863,Pennon Group Plc,UK Utilities,Pennon,Pennon
PCG-US,2689560,PG&E Corporation,North American Utilities,Pacific Gas & Electricity,Pacific Gas & Electricity
PNW-US,2048804,Pinnacle West Capital Corporation,North American Utilities,Pinnacle West,Pinnacle West
PAGP-US,BDGHN95,Plains GP Holdings LP Class A,Pipelines and Storage,Plains All American,Plains All American
PNM-US,2707826,"PNM Resources, Inc.",North American Utilities,PNM Resources,PNM Resources
POR-US,B125XQ6,Portland General Electric Company,North American Utilities,Portland General Electric,Portland General Electric
PPL-US,2680905,PPL Corporation,North American Utilities,PPL,PPL
PEG-US,2707677,Public Service Enterprise Group Inc,North American Utilities,PSEG,PSEG
REE-ES,BD6FXN3,Red Electrica Corp. SA,European Utilities,Red Electrica,Red Electrica
RENE-PT,B233HR5,Redes Energeticas Nacionais SA,European Utilities,REN,REN
VPK-NL,5809428,Royal Vopak NV,Pipelines and Storage,Vopak,Vopak
SBAC-US,BZ6TS23,SBA Communications Corp. Class A,Comms,Towers\North America\SBA Communications,SBA
SRE-US,2138158,Sempra Energy,North American Utilities,Sempra Energy,Sempra Energy
SESG-FR,B00ZQQ2,SES SA FDR (Class A),Comms,Satellite\SES,SES
SVT-GB,B1FH8J7,Severn Trent Plc,UK Utilities,Severn Trent,Severn Trent
